episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
72,default,87,0,-1,0,2,-131.9509,47.8423,-0.0011,0.0000,-0.0306,0.1791,0.0000,0.0000,0.1518,0.0000,0.0000,0.8414,3.635736,-4.801075,1.8966,3.2414,3.2414,0.0000,0.0000
73,default,250,0,-1,0,1,-240.9004,-286.1797,-0.0005,0.0000,-0.0074,0.0388,0.0000,0.0000,0.0188,0.0000,0.0000,0.5032,3.306956,-4.659050,1.3360,4.9800,4.9800,0.0000,0.0000
74,default,85,0,-1,0,2,-133.1787,40.6501,-0.0013,0.0000,-0.0387,0.1719,0.0000,0.0000,0.1706,0.0000,0.0000,0.8645,3.655429,-4.590976,1.9412,3.1059,3.1059,0.0000,0.0000
75,default,250,0,-1,0,1,-377.6062,-79.6753,-0.0009,0.0000,0.0431,0.0616,0.0000,0.0000,0.3215,0.0000,0.0000,0.7461,3.360747,-4.350512,1.3280,5.0040,5.0040,0.0000,0.0000
76,default,91,0,-1,0,2,-156.6424,47.1678,-0.0009,0.0000,-0.0256,0.1805,0.0000,0.0000,0.3336,0.0000,0.0000,0.8832,2.401382,-3.947843,1.9231,3.1648,3.1648,0.0000,0.0000
77,default,88,0,-1,1,1,-68.5399,33.2981,-0.0018,0.0568,-0.0150,0.1166,0.0000,0.0000,0.0732,0.0000,0.0000,0.8807,2.498688,-4.155153,1.2614,5.1477,5.1477,0.0000,0.0000
78,default,88,0,-1,0,2,-142.8885,49.2454,-0.0014,0.0000,-0.0311,0.1859,0.0000,0.0000,0.2087,0.0000,0.0000,0.8814,2.625095,-4.214069,1.9318,3.1364,3.1364,0.0000,0.0000
79,default,86,0,-1,1,1,-101.4603,36.3823,-0.0012,0.0581,0.0089,0.1154,0.0000,0.0000,0.3677,0.0000,0.0000,0.8628,2.654255,-4.182573,1.2558,5.1628,5.1628,0.0000,0.0000
80,default,250,0,0,0,0,-266.1079,-604.7704,-0.0003,0.0000,-0.0255,0.0219,0.0000,0.0000,0.0009,0.0000,0.0000,0.2871,2.599231,-3.767316,2.0000,3.0000,3.0000,0.0000,0.0000
81,default,250,0,0,0,0,-288.0997,-609.0774,-0.0004,0.0000,-0.0225,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.3435,1.832713,-2.965575,2.0000,3.0000,3.0000,0.0000,0.0000
82,default,250,0,1,1,0,-166.2155,-323.3583,-0.0001,0.0200,-0.0157,0.0155,0.0000,0.0000,0.0038,0.0000,0.0000,0.4464,1.399687,-2.886545,1.1240,5.6160,5.6160,0.0000,0.0000
83,default,79,0,-1,1,1,-50.9572,11.9389,-0.0020,0.0633,-0.0548,0.0962,0.0000,0.0000,0.0000,0.0000,0.0000,0.7138,1.341581,-2.901217,1.2658,5.1266,5.1266,0.0000,0.0000
84,default,250,0,-1,0,1,-239.8935,-305.6784,-0.0005,0.0000,-0.0094,0.0308,0.0000,0.0000,0.0001,0.0000,0.0000,0.4822,1.473417,-2.942883,1.3200,5.0280,5.0280,0.0000,0.0000
85,default,250,0,1,1,0,-98.6984,-310.3170,-0.0003,0.0200,-0.0015,0.0156,0.0000,0.0000,0.0000,0.0000,0.0000,0.4557,1.639084,-3.730239,1.0960,5.7000,5.7000,0.0000,0.0000
86,default,250,0,1,1,0,-78.8908,-308.1963,-0.0002,0.0200,-0.0238,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.2664,1.392520,-4.424783,1.1400,5.5680,5.5680,0.0000,0.0000
87,default,40,1,2,2,0,147.9919,-11.6933,-0.0002,0.3750,-0.1582,0.1487,0.0000,0.0000,0.0000,0.0000,0.0000,0.7410,1.161535,-4.239318,1.9000,3.1500,3.1500,0.0000,0.0000
88,default,250,0,-1,0,1,-183.4703,-298.4281,-0.0002,0.0000,-0.0301,0.0358,0.0000,0.0000,0.0016,0.0000,0.0000,0.2807,1.696247,-4.406486,1.3400,4.9680,4.9680,0.0000,0.0000
89,default,250,0,0,0,0,-121.5622,-630.2342,-0.0002,0.0000,-0.0141,0.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.3912,1.849768,-4.643077,2.0000,3.0000,3.0000,0.0000,0.0000
90,default,250,0,1,1,0,-88.7231,-305.8464,-0.0002,0.0200,-0.0106,0.0151,0.0000,0.0000,0.0000,0.0000,0.0000,0.3426,1.826312,-4.904013,1.0800,5.7480,5.7480,0.0000,0.0000
91,default,250,0,1,1,0,-104.6572,-303.6716,-0.0002,0.0200,-0.0149,0.0150,0.0000,0.0000,0.0022,0.0000,0.0000,0.2065,1.781439,-4.929908,1.0720,5.7720,5.7720,0.0000,0.0000
